Personalpronomen,Modo,Tempo,Konjugation
eu,Indicativo,Presente,comp ito
tu,Indicativo,Presente,comp etes
ele/ela/você,Indicativo,Presente,comp ete
nós,Indicativo,Presente,comp etimos
vós,Indicativo,Presente,comp etis
eles/elas/vocês,Indicativo,Presente,comp etem
eu,Indicativo,Pretérito Perfeito,comp eti
tu,Indicativo,Pretérito Perfeito,comp etiste
ele/ela/você,Indicativo,Pretérito Perfeito,comp etiu
nós,Indicativo,Pretérito Perfeito,comp etimos
vós,Indicativo,Pretérito Perfeito,comp etistes
eles/elas/vocês,Indicativo,Pretérito Perfeito,comp etiram
eu,Indicativo,Pretérito Imperfeito,comp etia
tu,Indicativo,Pretérito Imperfeito,comp etias
ele/ela/você,Indicativo,Pretérito Imperfeito,comp etia
nós,Indicativo,Pretérito Imperfeito,comp etíamos
vós,Indicativo,Pretérito Imperfeito,comp etíeis
eles/elas/vocês,Indicativo,Pretérito Imperfeito,comp etiam
eu,Indicativo,Pretérito Mais-que-Perfeito,comp etira
tu,Indicativo,Pretérito Mais-que-Perfeito,comp etiras
ele/ela/você,Indicativo,Pretérito Mais-que-Perfeito,comp etira
nós,Indicativo,Pretérito Mais-que-Perfeito,comp etíramos
vós,Indicativo,Pretérito Mais-que-Perfeito,comp etíreis
eles/elas/vocês,Indicativo,Pretérito Mais-que-Perfeito,comp etiram
eu,Indicativo,Pretérito Perfeito Composto,tenho comp etido
tu,Indicativo,Pretérito Perfeito Composto,tens comp etido
ele/ela/você,Indicativo,Pretérito Perfeito Composto,tem comp etido
nós,Indicativo,Pretérito Perfeito Composto,temos comp etido
vós,Indicativo,Pretérito Perfeito Composto,tendes comp etido
eles/elas/vocês,Indicativo,Pretérito Perfeito Composto,têm comp etido
eu,Indicativo,Pretérito Mais-que-Perfeito Composto,tinha comp etido
tu,Indicativo,Pretérito Mais-que-Perfeito Composto,tinhas comp etido
ele/ela/você,Indicativo,Pretérito Mais-que-Perfeito Composto,tinha comp etido
nós,Indicativo,Pretérito Mais-que-Perfeito Composto,tínhamos comp etido
vós,Indicativo,Pretérito Mais-que-Perfeito Composto,tínheis comp etido
eles/elas/vocês,Indicativo,Pretérito Mais-que-Perfeito Composto,tinham comp etido
eu,Indicativo,Pretérito Mais-que-Perfeito Anterior,tivera comp etido
tu,Indicativo,Pretérito Mais-que-Perfeito Anterior,tiveras comp etido
ele/ela/você,Indicativo,Pretérito Mais-que-Perfeito Anterior,tivera comp etido
nós,Indicativo,Pretérito Mais-que-Perfeito Anterior,tivéramos comp etido
vós,Indicativo,Pretérito Mais-que-Perfeito Anterior,tivéreis comp etido
eles/elas/vocês,Indicativo,Pretérito Mais-que-Perfeito Anterior,tiveram comp etido
eu,Indicativo,Futuro do Presente Simples,comp etirei
tu,Indicativo,Futuro do Presente Simples,comp etirás
ele/ela/você,Indicativo,Futuro do Presente Simples,comp etirá
nós,Indicativo,Futuro do Presente Simples,comp etiremos
vós,Indicativo,Futuro do Presente Simples,comp etireis
eles/elas/vocês,Indicativo,Futuro do Presente Simples,comp etirão
eu,Indicativo,Futuro do Presente Composto,terei comp etido
tu,Indicativo,Futuro do Presente Composto,terás comp etido
ele/ela/você,Indicativo,Futuro do Presente Composto,terá comp etido
nós,Indicativo,Futuro do Presente Composto,teremos comp etido
vós,Indicativo,Futuro do Presente Composto,tereis comp etido
eles/elas/vocês,Indicativo,Futuro do Presente Composto,terão comp etido
eu,Conjuntivo / Subjuntivo,Presente,comp ita
tu,Conjuntivo / Subjuntivo,Presente,comp itas
ele/ela/você,Conjuntivo / Subjuntivo,Presente,comp ita
nós,Conjuntivo / Subjuntivo,Presente,comp itamos
vós,Conjuntivo / Subjuntivo,Presente,comp itais
eles/elas/vocês,Conjuntivo / Subjuntivo,Presente,comp itam
eu,Conjuntivo / Subjuntivo,Pretérito Perfeito,tenha comp etido
tu,Conjuntivo / Subjuntivo,Pretérito Perfeito,tenhas comp etido
ele/ela/você,Conjuntivo / Subjuntivo,Pretérito Perfeito,tenha comp etido
nós,Conjuntivo / Subjuntivo,Pretérito Perfeito,tenhamos comp etido
vós,Conjuntivo / Subjuntivo,Pretérito Perfeito,tenhais comp etido
eles/elas/vocês,Conjuntivo / Subjuntivo,Pretérito Perfeito,tenham comp etido
eu,Conjuntivo / Subjuntivo,Pretérito Imperfeito,comp etisse
tu,Conjuntivo / Subjuntivo,Pretérito Imperfeito,comp etisses
ele/ela/você,Conjuntivo / Subjuntivo,Pretérito Imperfeito,comp etisse
nós,Conjuntivo / Subjuntivo,Pretérito Imperfeito,comp etíssemos
vós,Conjuntivo / Subjuntivo,Pretérito Imperfeito,comp etísseis
eles/elas/vocês,Conjuntivo / Subjuntivo,Pretérito Imperfeito,comp etissem
eu,Conjuntivo / Subjuntivo,Pretérito Mais-que-Perfeito Composto,tivesse comp etido
tu,Conjuntivo / Subjuntivo,Pretérito Mais-que-Perfeito Composto,tivesses comp etido
