ir a algum lugar,irgendwohin gehen,eu,Presente,Indicativo,vou
ir a algum lugar,irgendwohin gehen,ele/ela/você,Presente,Indicativo,vai
ir a algum lugar,irgendwohin gehen,nós,Presente,Indicativo,vamos/imos
ir a algum lugar,irgendwohin gehen,eles/elas/vocês,Presente,Indicativo,vão
ir a algum lugar,irgendwohin gehen,eu,Pretérito Perfeito,Indicativo,fui
ir a algum lugar,irgendwohin gehen,ele/ela/você,Pretérito Perfeito,Indicativo,foi
ir a algum lugar,irgendwohin gehen,nós,Pretérito Perfeito,Indicativo,fomos
ir a algum lugar,irgendwohin gehen,eles/elas/vocês,Pretérito Perfeito,Indicativo,foram
ir a algum lugar,irgendwohin gehen,eu,Futuro do Pretérito Simples,Condicional,iria
ir a algum lugar,irgendwohin gehen,ele/ela/você,Futuro do Pretérito Simples,Condicional,iria
ir a algum lugar,irgendwohin gehen,nós,Futuro do Pretérito Simples,Condicional,iríamos
ir a algum lugar,irgendwohin gehen,eles/elas/vocês,Futuro do Pretérito Simples,Condicional,iriam
